"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","logP"
"ENSG00000001084",2461.45314831774,-0.218492227640812,0.0537073917447546,-4.06819658417225,4.73784028428812e-05,0.000424427831305013,"GCLC",3.3721961455391
"ENSG00000012779",72.2793550374102,0.123875808431062,0.0847504302942456,1.46165403527719,0.143836038974886,0.269404890679517,"ALOX5",0.569594524515603
"ENSG00000023909",595.39322744548,-0.331482325579326,0.0773237410205188,-4.2869411283575,1.81150276449417e-05,0.000204130934769809,"GCLM",3.6900911756769
"ENSG00000062485",1092.5456765066,0.0248571240550606,0.0572434520158132,0.434235238786682,0.664117626120273,0.790268793009235,"CS",0.102225167613452
"ENSG00000068366",692.061512186021,-0.55600424877401,0.215355853650462,-2.58179306180572,0.00982885013023646,0.0313581402835117,"ACSL4",1.50364970136253
"ENSG00000072274",924.330907905349,-0.126100570796495,0.106867057662674,-1.17997607077882,0.238009732323905,0.391173333286106,"TFRC",0.407630759205084
"ENSG00000073756",10.0229074040011,-0.325246966291334,0.16448123314329,-1.97741079681711,0.0479952145399739,0.113659355924111,"PTGS2",0.944394809310089
"ENSG00000078668",1329.29668956428,0.000185222619199104,0.028834327017274,0.00642368448856606,0.994874676571449,0.997128376165141,"VDAC3",0.00124892446568975
"ENSG00000079999",815.051178648877,0.194132683997937,0.0387492654399693,5.00997068702345,5.44383266001933e-07,1.63655457636065e-05,"KEAP1",4.78606950711916
"ENSG00000100292",964.926356685468,0.101291821728587,0.0895522916836007,1.13109134143059,0.258016648264992,0.415321365623072,"HMOX1",0.381615726647101
"ENSG00000108839",1.3149539963477,-0.338076151145084,0.299180978332071,-1.13000550044944,0.258473906756789,0.415836287985378,"ALOX12",0.381077614609758
"ENSG00000111684",1588.29992152944,0.113001004190964,0.0622456019091638,1.81540543789532,0.0694616260255409,0.152976148297538,"LPCAT3",0.815376278138421
"ENSG00000116044",1188.6118707352,-0.14687040233396,0.0460129670135671,-3.19193505366986,0.0014132310552097,0.00637700664912601,"NFE2L2",2.19538313018583
"ENSG00000130066",8272.98066996985,-0.0634717372499369,0.0486417368142363,-1.30488221447225,0.191932958298602,0.334125904863401,"SAT1",0.476089852098781
"ENSG00000141510",329.157036887445,0.190425044949136,0.0438418525094682,4.34345343659946,1.40260216909656e-05,0.000168881582205243,"TP53",3.77241771089541
"ENSG00000144554",34.8433605436162,-0.0560753178222075,0.077647902249293,-0.722174278993069,0.470187334869918,0.63160229379824,"FANCD2",0.199556301427978
"ENSG00000151012",2.16477418957242,-0.792256287668468,0.244918702488447,-3.2347725168348,0.00121739682241382,0.00565159641691095,"SLC7A11",2.2478288588841
"ENSG00000161905",4.7200486866069,-0.169671450464901,0.28442654418308,-0.596538733584888,0.550815386090835,0.700569325595165,"ALOX15",0.154548882171619
"ENSG00000165637",662.463846675575,0.0118941409764126,0.0352690841992049,0.337239858830265,0.73593609236162,0.839526100380532,"VDAC2",0.0759657973519769
"ENSG00000167468",4560.53238716012,0.336210947742547,0.061656519267928,5.45296672167861,4.95363422559913e-08,3.19749448894954e-06,"GPX4",5.49519019537812
"ENSG00000167996",24068.6261535169,0.156703944389919,0.0570302274769322,2.74773486487149,0.00600085130564625,0.0209588202411814,"FTH1",1.67863316716374
"ENSG00000168003",759.55747953092,0.146088087808089,0.0437512040092281,3.33906440099971,0.000840610735634978,0.00416776878309885,"SLC3A2",2.38009638256114
"ENSG00000266412",7998.76240954905,-0.194821616348898,0.0704453085532686,-2.76557261725357,0.00568229519836723,0.0200311456932043,"NCOA4",1.69829421026673
